{'loss': 0.6933, 'grad_norm': 1.359375, 'learning_rate': 5e-05, 'rewards/chosen': 0.006380899343639612, 'rewards/rejected': 0.006320441607385874, 'rewards/accuracies': 0.35624998807907104, 'rewards/margins': 6.045941336196847e-05, 'logps/rejected': -131.63601684570312, 'logps/chosen': -149.08944702148438, 'logits/rejected': -0.010195283219218254, 'logits/chosen': 0.002989898668602109, 'epoch': 0.0}
{'loss': 0.6777, 'grad_norm': 1.90625, 'learning_rate': 0.0004998477067547739, 'rewards/chosen': 1.093904733657837, 'rewards/rejected': 0.8209604024887085, 'rewards/accuracies': 0.550000011920929, 'rewards/margins': 0.27294448018074036, 'logps/rejected': -111.670166015625, 'logps/chosen': -123.50125885009766, 'logits/rejected': -0.4098690152168274, 'logits/chosen': -0.3702336251735687, 'epoch': 0.04}
{'loss': 0.6154, 'grad_norm': 2.5625, 'learning_rate': 0.0004993910125649561, 'rewards/chosen': 1.646026611328125, 'rewards/rejected': 1.1970751285552979, 'rewards/accuracies': 0.625, 'rewards/margins': 0.44895139336586, 'logps/rejected': -102.4709701538086, 'logps/chosen': -121.15087890625, 'logits/rejected': -0.5111104846000671, 'logits/chosen': -0.4424312114715576, 'epoch': 0.04}
{'loss': 0.5802, 'grad_norm': 2.0625, 'learning_rate': 0.0004986304738420684, 'rewards/chosen': 1.7256320714950562, 'rewards/rejected': 1.18724524974823, 'rewards/accuracies': 0.706250011920929, 'rewards/margins': 0.5383866429328918, 'logps/rejected': -115.8260726928711, 'logps/chosen': -137.162353515625, 'logits/rejected': -0.47253650426864624, 'logits/chosen': -0.3855930268764496, 'epoch': 0.04}
{'loss': 0.6772, 'grad_norm': 3.4375, 'learning_rate': 0.0004975670171853926, 'rewards/chosen': 1.7448837757110596, 'rewards/rejected': 1.1495120525360107, 'rewards/accuracies': 0.6937500238418579, 'rewards/margins': 0.5953716039657593, 'logps/rejected': -115.90730285644531, 'logps/chosen': -125.1029281616211, 'logits/rejected': -0.4923575818538666, 'logits/chosen': -0.4383556842803955, 'epoch': 0.05}
{'loss': 0.6938, 'grad_norm': 2.6875, 'learning_rate': 0.000496201938253052, 'rewards/chosen': 0.2510524094104767, 'rewards/rejected': -0.22928743064403534, 'rewards/accuracies': 0.637499988079071, 'rewards/margins': 0.480339914560318, 'logps/rejected': -135.45382690429688, 'logps/chosen': -140.7657928466797, 'logits/rejected': -0.5511626601219177, 'logits/chosen': -0.5076851844787598, 'epoch': 0.05}
{'loss': 0.629, 'grad_norm': 2.859375, 'learning_rate': 0.0004945369001834514, 'rewards/chosen': 1.2013212442398071, 'rewards/rejected': 0.6892547011375427, 'rewards/accuracies': 0.643750011920929, 'rewards/margins': 0.5120664834976196, 'logps/rejected': -110.41212463378906, 'logps/chosen': -128.4375457763672, 'logits/rejected': -0.5119966864585876, 'logits/chosen': -0.45048803091049194, 'epoch': 0.05}
{'loss': 0.6879, 'grad_norm': 3.515625, 'learning_rate': 0.0004925739315689991, 'rewards/chosen': 1.3201154470443726, 'rewards/rejected': 0.9196580648422241, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.4004574716091156, 'logps/rejected': -137.74252319335938, 'logps/chosen': -151.40200805664062, 'logits/rejected': -0.6993587613105774, 'logits/chosen': -0.6325519680976868, 'epoch': 0.06}
{'loss': 0.6207, 'grad_norm': 2.75, 'learning_rate': 0.0004903154239845797, 'rewards/chosen': 0.6144543886184692, 'rewards/rejected': 0.11882086843252182, 'rewards/accuracies': 0.637499988079071, 'rewards/margins': 0.49563345313072205, 'logps/rejected': -134.02650451660156, 'logps/chosen': -147.64544677734375, 'logits/rejected': -0.6217032074928284, 'logits/chosen': -0.5848802328109741, 'epoch': 0.06}
{'loss': 0.712, 'grad_norm': 3.390625, 'learning_rate': 0.0004877641290737884, 'rewards/chosen': 1.3511165380477905, 'rewards/rejected': 0.9394872784614563, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.41162949800491333, 'logps/rejected': -127.64229583740234, 'logps/chosen': -150.83273315429688, 'logits/rejected': -0.5740492939949036, 'logits/chosen': -0.527940571308136, 'epoch': 0.06}
{'loss': 0.6087, 'grad_norm': 3.515625, 'learning_rate': 0.0004849231551964771, 'rewards/chosen': 0.5778120756149292, 'rewards/rejected': 0.0059372917748987675, 'rewards/accuracies': 0.699999988079071, 'rewards/margins': 0.5718747973442078, 'logps/rejected': -141.64950561523438, 'logps/chosen': -149.00225830078125, 'logits/rejected': -0.5149613618850708, 'logits/chosen': -0.5187498331069946, 'epoch': 0.07}
{'eval_loss': 0.7011882662773132, 'eval_runtime': 3462.9277, 'eval_samples_per_second': 3.508, 'eval_steps_per_second': 3.508, 'eval_rewards/chosen': -0.20961914956569672, 'eval_rewards/rejected': -0.6579448580741882, 'eval_rewards/accuracies': 0.6167585849761963, 'eval_rewards/margins': 0.4483256936073303, 'eval_logps/rejected': -137.83895874023438, 'eval_logps/chosen': -150.00448608398438, 'eval_logits/rejected': -0.3912394344806671, 'eval_logits/chosen': -0.33122697472572327, 'epoch': 0.07}
{'loss': 0.7556, 'grad_norm': 6.03125, 'learning_rate': 0.00048179596364169685, 'rewards/chosen': 0.49298176169395447, 'rewards/rejected': 0.015325339511036873, 'rewards/accuracies': 0.581250011920929, 'rewards/margins': 0.47765642404556274, 'logps/rejected': -133.6798553466797, 'logps/chosen': -156.53683471679688, 'logits/rejected': -0.6344932317733765, 'logits/chosen': -0.4773814082145691, 'epoch': 0.07}
{'loss': 0.6763, 'grad_norm': 3.59375, 'learning_rate': 0.0004783863644106502, 'rewards/chosen': 0.9817503094673157, 'rewards/rejected': 0.2614179849624634, 'rewards/accuracies': 0.6625000238418579, 'rewards/margins': 0.7203323245048523, 'logps/rejected': -138.89341735839844, 'logps/chosen': -149.87954711914062, 'logits/rejected': -0.6432716250419617, 'logits/chosen': -0.5004217624664307, 'epoch': 0.07}
{'loss': 0.7612, 'grad_norm': 3.5, 'learning_rate': 0.00047469851157479177, 'rewards/chosen': 0.679582417011261, 'rewards/rejected': 0.33467528223991394, 'rewards/accuracies': 0.543749988079071, 'rewards/margins': 0.34490707516670227, 'logps/rejected': -127.8741455078125, 'logps/chosen': -131.4361114501953, 'logits/rejected': -0.7100046873092651, 'logits/chosen': -0.6560128331184387, 'epoch': 0.08}
{'loss': 0.674, 'grad_norm': 2.71875, 'learning_rate': 0.00047073689821473173, 'rewards/chosen': 1.610870599746704, 'rewards/rejected': 1.177870273590088, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 0.4330000877380371, 'logps/rejected': -116.2612075805664, 'logps/chosen': -136.40585327148438, 'logits/rejected': -0.8449222445487976, 'logits/chosen': -0.721096396446228, 'epoch': 0.08}
{'loss': 0.7083, 'grad_norm': 2.71875, 'learning_rate': 0.00046650635094610973, 'rewards/chosen': 1.3008816242218018, 'rewards/rejected': 0.9465409517288208, 'rewards/accuracies': 0.625, 'rewards/margins': 0.3543406128883362, 'logps/rejected': -116.64237976074219, 'logps/chosen': -132.5696258544922, 'logits/rejected': -0.8893468976020813, 'logits/chosen': -0.7749695777893066, 'epoch': 0.08}
{'loss': 0.6231, 'grad_norm': 2.953125, 'learning_rate': 0.00046201202403910646, 'rewards/chosen': 0.6067763566970825, 'rewards/rejected': 0.010153624229133129, 'rewards/accuracies': 0.6812499761581421, 'rewards/margins': 0.59662264585495, 'logps/rejected': -121.40702056884766, 'logps/chosen': -130.3871612548828, 'logits/rejected': -0.820114254951477, 'logits/chosen': -0.7399659156799316, 'epoch': 0.09}
{'loss': 0.6738, 'grad_norm': 3.234375, 'learning_rate': 0.00045725939313876043, 'rewards/chosen': 1.012991189956665, 'rewards/rejected': 0.48201435804367065, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.5309767723083496, 'logps/rejected': -123.59112548828125, 'logps/chosen': -140.12161254882812, 'logits/rejected': -0.8342517614364624, 'logits/chosen': -0.7012030482292175, 'epoch': 0.09}
{'loss': 0.6737, 'grad_norm': 3.078125, 'learning_rate': 0.0004522542485937369, 'rewards/chosen': 0.4955645501613617, 'rewards/rejected': 0.0727594867348671, 'rewards/accuracies': 0.643750011920929, 'rewards/margins': 0.4228050112724304, 'logps/rejected': -124.774658203125, 'logps/chosen': -140.96090698242188, 'logits/rejected': -0.6893892884254456, 'logits/chosen': -0.6145637035369873, 'epoch': 0.09}
{'loss': 0.7073, 'grad_norm': 3.1875, 'learning_rate': 0.00044700268840168044, 'rewards/chosen': 1.5517027378082275, 'rewards/rejected': 1.0467360019683838, 'rewards/accuracies': 0.637499988079071, 'rewards/margins': 0.5049667358398438, 'logps/rejected': -124.3992919921875, 'logps/chosen': -134.68902587890625, 'logits/rejected': -0.5960570573806763, 'logits/chosen': -0.5346037149429321, 'epoch': 0.1}
{'loss': 0.6399, 'grad_norm': 2.984375, 'learning_rate': 0.0004415111107797445, 'rewards/chosen': 0.4136802554130554, 'rewards/rejected': -0.23232999444007874, 'rewards/accuracies': 0.6812499761581421, 'rewards/margins': 0.6460102200508118, 'logps/rejected': -125.55076599121094, 'logps/chosen': -146.0937957763672, 'logits/rejected': -0.517548680305481, 'logits/chosen': -0.4345027804374695, 'epoch': 0.1}
{'eval_loss': 0.6451746821403503, 'eval_runtime': 3462.3277, 'eval_samples_per_second': 3.509, 'eval_steps_per_second': 3.509, 'eval_rewards/chosen': 0.5017125010490417, 'eval_rewards/rejected': -0.1196354553103447, 'eval_rewards/accuracies': 0.6532225012779236, 'eval_rewards/margins': 0.6213479042053223, 'eval_logps/rejected': -132.4558563232422, 'eval_logps/chosen': -142.8911590576172, 'eval_logits/rejected': -0.33134347200393677, 'eval_logits/chosen': -0.25303590297698975, 'epoch': 0.1}
{'loss': 0.6186, 'grad_norm': 2.359375, 'learning_rate': 0.00043578620636934855, 'rewards/chosen': 1.0763400793075562, 'rewards/rejected': 0.3702927827835083, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.7060473561286926, 'logps/rejected': -128.9371795654297, 'logps/chosen': -141.45741271972656, 'logits/rejected': -0.40374451875686646, 'logits/chosen': -0.2903590798377991, 'epoch': 0.1}
{'loss': 0.6021, 'grad_norm': 2.90625, 'learning_rate': 0.0004298349500846628, 'rewards/chosen': 1.1670455932617188, 'rewards/rejected': 0.5428003072738647, 'rewards/accuracies': 0.6937500238418579, 'rewards/margins': 0.6242451667785645, 'logps/rejected': -124.7232894897461, 'logps/chosen': -137.4499053955078, 'logits/rejected': -0.2980543375015259, 'logits/chosen': -0.1985556185245514, 'epoch': 0.11}
{'loss': 0.6299, 'grad_norm': 3.140625, 'learning_rate': 0.00042366459261474935, 'rewards/chosen': 0.6623134016990662, 'rewards/rejected': 0.006221753545105457, 'rewards/accuracies': 0.643750011920929, 'rewards/margins': 0.6560916900634766, 'logps/rejected': -138.11489868164062, 'logps/chosen': -147.04225158691406, 'logits/rejected': -0.3779974579811096, 'logits/chosen': -0.2967906892299652, 'epoch': 0.11}
{'loss': 0.6718, 'grad_norm': 2.546875, 'learning_rate': 0.0004172826515897146, 'rewards/chosen': 0.702420711517334, 'rewards/rejected': 0.22397062182426453, 'rewards/accuracies': 0.637499988079071, 'rewards/margins': 0.47845011949539185, 'logps/rejected': -118.882568359375, 'logps/chosen': -134.64659118652344, 'logits/rejected': -0.45196279883384705, 'logits/chosen': -0.3553019165992737, 'epoch': 0.11}
{'loss': 0.6459, 'grad_norm': 2.40625, 'learning_rate': 0.0004106969024216348, 'rewards/chosen': 1.07296884059906, 'rewards/rejected': 0.6318451762199402, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.4411236345767975, 'logps/rejected': -120.6189956665039, 'logps/chosen': -128.03414916992188, 'logits/rejected': -0.665786623954773, 'logits/chosen': -0.5659853219985962, 'epoch': 0.12}
{'loss': 0.705, 'grad_norm': 3.6875, 'learning_rate': 0.00040391536883141455, 'rewards/chosen': 0.4821647107601166, 'rewards/rejected': 0.025885606184601784, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.45627912878990173, 'logps/rejected': -116.57708740234375, 'logps/chosen': -134.0436248779297, 'logits/rejected': -0.9169448614120483, 'logits/chosen': -0.8164747357368469, 'epoch': 0.12}
{'loss': 0.6309, 'grad_norm': 2.984375, 'learning_rate': 0.0003969463130731183, 'rewards/chosen': 1.4830602407455444, 'rewards/rejected': 0.9241300821304321, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 0.5589302778244019, 'logps/rejected': -110.80958557128906, 'logps/chosen': -136.01870727539062, 'logits/rejected': -0.9445123672485352, 'logits/chosen': -0.7997220754623413, 'epoch': 0.12}
{'loss': 0.657, 'grad_norm': 3.296875, 'learning_rate': 0.0003897982258676867, 'rewards/chosen': 1.2434518337249756, 'rewards/rejected': 0.7855360507965088, 'rewards/accuracies': 0.625, 'rewards/margins': 0.457915723323822, 'logps/rejected': -113.18013000488281, 'logps/chosen': -124.62544250488281, 'logits/rejected': -0.8539708852767944, 'logits/chosen': -0.7182275056838989, 'epoch': 0.13}
{'loss': 0.6332, 'grad_norm': 2.171875, 'learning_rate': 0.00038247981605830125, 'rewards/chosen': 1.2399063110351562, 'rewards/rejected': 0.4544922709465027, 'rewards/accuracies': 0.7124999761581421, 'rewards/margins': 0.7854140400886536, 'logps/rejected': -128.4548797607422, 'logps/chosen': -132.3268280029297, 'logits/rejected': -0.8384718894958496, 'logits/chosen': -0.7391826510429382, 'epoch': 0.13}
{'loss': 0.7855, 'grad_norm': 3.59375, 'learning_rate': 0.000375, 'rewards/chosen': 0.297366201877594, 'rewards/rejected': -0.030504554510116577, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.32787075638771057, 'logps/rejected': -130.85142517089844, 'logps/chosen': -158.48831176757812, 'logits/rejected': -0.6680644154548645, 'logits/chosen': -0.5846985578536987, 'epoch': 0.13}
{'eval_loss': 0.6582806706428528, 'eval_runtime': 3462.807, 'eval_samples_per_second': 3.508, 'eval_steps_per_second': 3.508, 'eval_rewards/chosen': 1.261223554611206, 'eval_rewards/rejected': 0.6594325304031372, 'eval_rewards/accuracies': 0.6424397230148315, 'eval_rewards/margins': 0.6017910242080688, 'eval_logps/rejected': -124.66517639160156, 'eval_logps/chosen': -135.29605102539062, 'eval_logits/rejected': -0.4599953293800354, 'eval_logits/chosen': -0.3325863778591156, 'epoch': 0.13}
{'loss': 0.6119, 'grad_norm': 2.03125, 'learning_rate': 0.0003673678906964727, 'rewards/chosen': 1.5446619987487793, 'rewards/rejected': 0.7908370494842529, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.7538249492645264, 'logps/rejected': -105.3907470703125, 'logps/chosen': -118.3369140625, 'logits/rejected': -0.8674215078353882, 'logits/chosen': -0.7504215240478516, 'epoch': 0.13}
{'loss': 0.6367, 'grad_norm': 8.4375, 'learning_rate': 0.00035959278669726934, 'rewards/chosen': 1.256643533706665, 'rewards/rejected': 0.5978147983551025, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.658828616142273, 'logps/rejected': -121.54141998291016, 'logps/chosen': -141.6790771484375, 'logits/rejected': -0.8607255816459656, 'logits/chosen': -0.7901580333709717, 'epoch': 0.14}
{'loss': 0.8421, 'grad_norm': 3.78125, 'learning_rate': 0.0003516841607689501, 'rewards/chosen': 0.8999757766723633, 'rewards/rejected': 0.5958811640739441, 'rewards/accuracies': 0.5375000238418579, 'rewards/margins': 0.3040946125984192, 'logps/rejected': -121.00927734375, 'logps/chosen': -130.22207641601562, 'logits/rejected': -0.8255401849746704, 'logits/chosen': -0.6901299357414246, 'epoch': 0.14}
{'loss': 0.65, 'grad_norm': 2.90625, 'learning_rate': 0.00034365164835397803, 'rewards/chosen': 1.1960089206695557, 'rewards/rejected': 0.654341995716095, 'rewards/accuracies': 0.668749988079071, 'rewards/margins': 0.5416669249534607, 'logps/rejected': -125.20814514160156, 'logps/chosen': -133.05392456054688, 'logits/rejected': -0.7129743695259094, 'logits/chosen': -0.6678861975669861, 'epoch': 0.14}
{'loss': 0.6742, 'grad_norm': 4.28125, 'learning_rate': 0.0003355050358314172, 'rewards/chosen': 0.7501851320266724, 'rewards/rejected': 0.23917421698570251, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 0.5110108256340027, 'logps/rejected': -135.02789306640625, 'logps/chosen': -133.33438110351562, 'logits/rejected': -0.6859968900680542, 'logits/chosen': -0.6544449925422668, 'epoch': 0.15}
{'loss': 0.6422, 'grad_norm': 2.828125, 'learning_rate': 0.00032725424859373687, 'rewards/chosen': 0.6022620797157288, 'rewards/rejected': 0.1358967125415802, 'rewards/accuracies': 0.668749988079071, 'rewards/margins': 0.4663652777671814, 'logps/rejected': -130.80250549316406, 'logps/chosen': -147.8819122314453, 'logits/rejected': -0.6307826638221741, 'logits/chosen': -0.5660203695297241, 'epoch': 0.15}
{'loss': 0.7577, 'grad_norm': 3.796875, 'learning_rate': 0.0003189093389542498, 'rewards/chosen': 0.6093447804450989, 'rewards/rejected': 0.250764936208725, 'rewards/accuracies': 0.5874999761581421, 'rewards/margins': 0.3585797846317291, 'logps/rejected': -146.17921447753906, 'logps/chosen': -146.5545654296875, 'logits/rejected': -0.6554349064826965, 'logits/chosen': -0.6216907501220703, 'epoch': 0.15}
{'loss': 0.5696, 'grad_norm': 2.53125, 'learning_rate': 0.0003104804738999169, 'rewards/chosen': 0.8517311215400696, 'rewards/rejected': 0.1338512897491455, 'rewards/accuracies': 0.7437499761581421, 'rewards/margins': 0.7178798317909241, 'logps/rejected': -130.2855224609375, 'logps/chosen': -140.6947784423828, 'logits/rejected': -0.5594779849052429, 'logits/chosen': -0.525758683681488, 'epoch': 0.16}
{'loss': 0.6733, 'grad_norm': 3.5, 'learning_rate': 0.0003019779227044398, 'rewards/chosen': 0.7060145139694214, 'rewards/rejected': 0.1364671289920807, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.5695475339889526, 'logps/rejected': -137.35536193847656, 'logps/chosen': -151.7693634033203, 'logits/rejected': -0.6223474144935608, 'logits/chosen': -0.5498257875442505, 'epoch': 0.16}
{'loss': 0.7037, 'grad_norm': 2.65625, 'learning_rate': 0.00029341204441673266, 'rewards/chosen': 0.7578111886978149, 'rewards/rejected': 0.26624053716659546, 'rewards/accuracies': 0.6187499761581421, 'rewards/margins': 0.49157077074050903, 'logps/rejected': -117.94993591308594, 'logps/chosen': -122.35404968261719, 'logits/rejected': -0.7825285792350769, 'logits/chosen': -0.7247551679611206, 'epoch': 0.16}
{'eval_loss': 0.6213650703430176, 'eval_runtime': 3464.0379, 'eval_samples_per_second': 3.507, 'eval_steps_per_second': 3.507, 'eval_rewards/chosen': 0.8667369484901428, 'eval_rewards/rejected': 0.20012085139751434, 'eval_rewards/accuracies': 0.6644991636276245, 'eval_rewards/margins': 0.6666160821914673, 'eval_logps/rejected': -129.25828552246094, 'eval_logps/chosen': -139.2409210205078, 'eval_logits/rejected': -0.49706903100013733, 'eval_logits/chosen': -0.3751445412635803, 'epoch': 0.16}
{'loss': 0.5168, 'grad_norm': 3.671875, 'learning_rate': 0.00028479327524001636, 'rewards/chosen': 1.0936473608016968, 'rewards/rejected': 0.18980440497398376, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.9038430452346802, 'logps/rejected': -119.9801254272461, 'logps/chosen': -142.24935913085938, 'logits/rejected': -0.7458821535110474, 'logits/chosen': -0.6557627320289612, 'epoch': 0.17}
{'loss': 0.6782, 'grad_norm': 2.828125, 'learning_rate': 0.0002761321158169134, 'rewards/chosen': 0.8550869822502136, 'rewards/rejected': 0.35080742835998535, 'rewards/accuracies': 0.606249988079071, 'rewards/margins': 0.5042794942855835, 'logps/rejected': -126.22224426269531, 'logps/chosen': -127.27335357666016, 'logits/rejected': -0.6823779344558716, 'logits/chosen': -0.6181262135505676, 'epoch': 0.17}
{'loss': 0.6962, 'grad_norm': 3.734375, 'learning_rate': 0.0002674391184360313, 'rewards/chosen': 0.5136843323707581, 'rewards/rejected': 0.11044327914714813, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.4032410681247711, 'logps/rejected': -125.79248046875, 'logps/chosen': -131.1484832763672, 'logits/rejected': -0.6423452496528625, 'logits/chosen': -0.6209001541137695, 'epoch': 0.17}
{'loss': 0.664, 'grad_norm': 3.546875, 'learning_rate': 0.0002587248741756253, 'rewards/chosen': 0.5880407094955444, 'rewards/rejected': -0.04935818910598755, 'rewards/accuracies': 0.581250011920929, 'rewards/margins': 0.6373989582061768, 'logps/rejected': -137.5946044921875, 'logps/chosen': -139.75814819335938, 'logits/rejected': -0.6726420521736145, 'logits/chosen': -0.5583724975585938, 'epoch': 0.18}
{'loss': 0.6214, 'grad_norm': 3.21875, 'learning_rate': 0.00025, 'rewards/chosen': 0.1106206402182579, 'rewards/rejected': -0.48116153478622437, 'rewards/accuracies': 0.625, 'rewards/margins': 0.5917822122573853, 'logps/rejected': -132.72427368164062, 'logps/chosen': -144.40237426757812, 'logits/rejected': -0.7084914445877075, 'logits/chosen': -0.6026862263679504, 'epoch': 0.18}
{'loss': 0.6556, 'grad_norm': 2.625, 'learning_rate': 0.00024127512582437484, 'rewards/chosen': -0.039285577833652496, 'rewards/rejected': -0.5139358639717102, 'rewards/accuracies': 0.625, 'rewards/margins': 0.4746502935886383, 'logps/rejected': -131.49411010742188, 'logps/chosen': -146.32061767578125, 'logits/rejected': -0.7177280187606812, 'logits/chosen': -0.6643563508987427, 'epoch': 0.18}
{'loss': 0.6657, 'grad_norm': 4.0, 'learning_rate': 0.00023256088156396867, 'rewards/chosen': 0.4739159047603607, 'rewards/rejected': -0.10957493633031845, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 0.5834909081459045, 'logps/rejected': -133.933349609375, 'logps/chosen': -134.07020568847656, 'logits/rejected': -0.7028487920761108, 'logits/chosen': -0.6516848206520081, 'epoch': 0.19}
{'loss': 0.6166, 'grad_norm': 2.4375, 'learning_rate': 0.00022386788418308668, 'rewards/chosen': 0.558525562286377, 'rewards/rejected': -0.20677237212657928, 'rewards/accuracies': 0.706250011920929, 'rewards/margins': 0.7652978897094727, 'logps/rejected': -142.7677764892578, 'logps/chosen': -136.28076171875, 'logits/rejected': -0.6873612999916077, 'logits/chosen': -0.6336197257041931, 'epoch': 0.19}
{'loss': 0.7102, 'grad_norm': 3.234375, 'learning_rate': 0.0002152067247599837, 'rewards/chosen': 0.12316174805164337, 'rewards/rejected': -0.3214290142059326, 'rewards/accuracies': 0.637499988079071, 'rewards/margins': 0.4445907473564148, 'logps/rejected': -131.469970703125, 'logps/chosen': -134.46275329589844, 'logits/rejected': -0.5666829347610474, 'logits/chosen': -0.5405169725418091, 'epoch': 0.19}
{'loss': 0.7167, 'grad_norm': 3.296875, 'learning_rate': 0.00020658795558326743, 'rewards/chosen': 0.4938785433769226, 'rewards/rejected': 0.1198936253786087, 'rewards/accuracies': 0.5562499761581421, 'rewards/margins': 0.3739849328994751, 'logps/rejected': -123.90750885009766, 'logps/chosen': -131.40968322753906, 'logits/rejected': -0.5351902842521667, 'logits/chosen': -0.49163976311683655, 'epoch': 0.2}
