{'loss': 0.6928, 'grad_norm': 1.25, 'learning_rate': 5e-05, 'rewards/chosen': 0.002577605191618204, 'rewards/rejected': 0.001468400820158422, 'rewards/accuracies': 0.4124999940395355, 'rewards/margins': 0.0011092043714597821, 'logps/rejected': -146.68641662597656, 'logps/chosen': -142.4328155517578, 'logits/rejected': -0.2428296059370041, 'logits/chosen': -0.23622170090675354, 'epoch': 1.0}
{'loss': 0.0, 'grad_norm': 0.00157928466796875, 'learning_rate': 0.0004998477067547739, 'rewards/chosen': -6.785150051116943, 'rewards/rejected': -19.283153533935547, 'rewards/accuracies': 1.0, 'rewards/margins': 12.498003005981445, 'logps/rejected': -339.51025390625, 'logps/chosen': -210.28897094726562, 'logits/rejected': -1.1424617767333984, 'logits/chosen': -1.0970909595489502, 'epoch': 11.0}
{'loss': 0.0, 'grad_norm': 0.001739501953125, 'learning_rate': 0.0004993910125649561, 'rewards/chosen': -6.8105292320251465, 'rewards/rejected': -19.36052894592285, 'rewards/accuracies': 1.0, 'rewards/margins': 12.550000190734863, 'logps/rejected': -340.2904052734375, 'logps/chosen': -210.5366973876953, 'logits/rejected': -1.1353275775909424, 'logits/chosen': -1.0950208902359009, 'epoch': 12.0}
{'loss': 0.0, 'grad_norm': 0.001373291015625, 'learning_rate': 0.0004986304738420684, 'rewards/chosen': -6.852991580963135, 'rewards/rejected': -19.44633674621582, 'rewards/accuracies': 1.0, 'rewards/margins': 12.593344688415527, 'logps/rejected': -341.1507263183594, 'logps/chosen': -210.9565887451172, 'logits/rejected': -1.1388487815856934, 'logits/chosen': -1.095104455947876, 'epoch': 13.0}
{'loss': 0.0, 'grad_norm': 0.0017242431640625, 'learning_rate': 0.0004975670171853926, 'rewards/chosen': -6.88809061050415, 'rewards/rejected': -19.519664764404297, 'rewards/accuracies': 1.0, 'rewards/margins': 12.631574630737305, 'logps/rejected': -341.8907775878906, 'logps/chosen': -211.2917022705078, 'logits/rejected': -1.1379706859588623, 'logits/chosen': -1.0976905822753906, 'epoch': 14.0}
{'loss': 0.0, 'grad_norm': 0.00146484375, 'learning_rate': 0.000496201938253052, 'rewards/chosen': -6.9140496253967285, 'rewards/rejected': -19.58818244934082, 'rewards/accuracies': 1.0, 'rewards/margins': 12.67413330078125, 'logps/rejected': -342.5610656738281, 'logps/chosen': -211.55966186523438, 'logits/rejected': -1.1299846172332764, 'logits/chosen': -1.0843398571014404, 'epoch': 15.0}
{'loss': 0.0, 'grad_norm': 0.0019073486328125, 'learning_rate': 0.0004945369001834514, 'rewards/chosen': -6.945089817047119, 'rewards/rejected': -19.658203125, 'rewards/accuracies': 1.0, 'rewards/margins': 12.713109970092773, 'logps/rejected': -343.27569580078125, 'logps/chosen': -211.8865203857422, 'logits/rejected': -1.1503312587738037, 'logits/chosen': -1.1054390668869019, 'epoch': 16.0}
{'loss': 0.0, 'grad_norm': 0.0010528564453125, 'learning_rate': 0.0004925739315689991, 'rewards/chosen': -6.972609519958496, 'rewards/rejected': -19.718212127685547, 'rewards/accuracies': 1.0, 'rewards/margins': 12.745603561401367, 'logps/rejected': -343.8797607421875, 'logps/chosen': -212.17236328125, 'logits/rejected': -1.1429173946380615, 'logits/chosen': -1.104988694190979, 'epoch': 17.0}
{'loss': 0.0, 'grad_norm': 0.00138092041015625, 'learning_rate': 0.0004903154239845797, 'rewards/chosen': -7.00421667098999, 'rewards/rejected': -19.787433624267578, 'rewards/accuracies': 1.0, 'rewards/margins': 12.78321647644043, 'logps/rejected': -344.5707092285156, 'logps/chosen': -212.4872283935547, 'logits/rejected': -1.1426935195922852, 'logits/chosen': -1.103060007095337, 'epoch': 18.0}
{'loss': 0.0, 'grad_norm': 0.00173187255859375, 'learning_rate': 0.0004877641290737884, 'rewards/chosen': -7.038424491882324, 'rewards/rejected': -19.841365814208984, 'rewards/accuracies': 1.0, 'rewards/margins': 12.802943229675293, 'logps/rejected': -345.0885314941406, 'logps/chosen': -212.8083953857422, 'logits/rejected': -1.1432756185531616, 'logits/chosen': -1.1069223880767822, 'epoch': 19.0}
{'loss': 0.0, 'grad_norm': 0.000514984130859375, 'learning_rate': 0.0004849231551964771, 'rewards/chosen': -7.065709114074707, 'rewards/rejected': -19.898303985595703, 'rewards/accuracies': 1.0, 'rewards/margins': 12.832595825195312, 'logps/rejected': -345.68597412109375, 'logps/chosen': -213.09494018554688, 'logits/rejected': -1.13398015499115, 'logits/chosen': -1.0970771312713623, 'epoch': 20.0}
{'eval_loss': 0.022106865420937538, 'eval_runtime': 2.4645, 'eval_samples_per_second': 4.058, 'eval_steps_per_second': 4.058, 'eval_rewards/chosen': -8.851500511169434, 'eval_rewards/rejected': -19.422727584838867, 'eval_rewards/accuracies': 1.0, 'eval_rewards/margins': 10.571224212646484, 'eval_logps/rejected': -350.7540283203125, 'eval_logps/chosen': -241.046142578125, 'eval_logits/rejected': -1.226572871208191, 'eval_logits/chosen': -1.1720982789993286, 'epoch': 20.0}
{'loss': 0.0, 'grad_norm': 0.0012664794921875, 'learning_rate': 0.00048179596364169685, 'rewards/chosen': -7.083737373352051, 'rewards/rejected': -19.957740783691406, 'rewards/accuracies': 1.0, 'rewards/margins': 12.874002456665039, 'logps/rejected': -346.27154541015625, 'logps/chosen': -213.2782440185547, 'logits/rejected': -1.147569179534912, 'logits/chosen': -1.1112825870513916, 'epoch': 21.0}
{'loss': 0.0, 'grad_norm': 0.001068115234375, 'learning_rate': 0.0004783863644106502, 'rewards/chosen': -7.10437536239624, 'rewards/rejected': -20.00290298461914, 'rewards/accuracies': 1.0, 'rewards/margins': 12.898527145385742, 'logps/rejected': -346.7369689941406, 'logps/chosen': -213.4977264404297, 'logits/rejected': -1.1359694004058838, 'logits/chosen': -1.1053340435028076, 'epoch': 22.0}
{'loss': 0.0, 'grad_norm': 0.000865936279296875, 'learning_rate': 0.00047469851157479177, 'rewards/chosen': -7.128204345703125, 'rewards/rejected': -20.046268463134766, 'rewards/accuracies': 1.0, 'rewards/margins': 12.918063163757324, 'logps/rejected': -347.14715576171875, 'logps/chosen': -213.71731567382812, 'logits/rejected': -1.1432650089263916, 'logits/chosen': -1.1096686124801636, 'epoch': 23.0}
{'loss': 0.0, 'grad_norm': 0.0013580322265625, 'learning_rate': 0.00047073689821473173, 'rewards/chosen': -7.147474765777588, 'rewards/rejected': -20.094091415405273, 'rewards/accuracies': 1.0, 'rewards/margins': 12.946615219116211, 'logps/rejected': -347.6128845214844, 'logps/chosen': -213.9153594970703, 'logits/rejected': -1.1357314586639404, 'logits/chosen': -1.1043246984481812, 'epoch': 24.0}
{'loss': 0.0, 'grad_norm': 0.00124359130859375, 'learning_rate': 0.00046650635094610973, 'rewards/chosen': -7.168237209320068, 'rewards/rejected': -20.13321304321289, 'rewards/accuracies': 1.0, 'rewards/margins': 12.96497631072998, 'logps/rejected': -348.0133361816406, 'logps/chosen': -214.1184844970703, 'logits/rejected': -1.1467978954315186, 'logits/chosen': -1.1069624423980713, 'epoch': 25.0}
{'loss': 0.0, 'grad_norm': 0.0015106201171875, 'learning_rate': 0.00046201202403910646, 'rewards/chosen': -7.191861629486084, 'rewards/rejected': -20.174612045288086, 'rewards/accuracies': 1.0, 'rewards/margins': 12.982749938964844, 'logps/rejected': -348.43170166015625, 'logps/chosen': -214.34555053710938, 'logits/rejected': -1.1415752172470093, 'logits/chosen': -1.10820734500885, 'epoch': 26.0}
{'loss': 0.0, 'grad_norm': 0.000812530517578125, 'learning_rate': 0.00045725939313876043, 'rewards/chosen': -7.2007856369018555, 'rewards/rejected': -20.214767456054688, 'rewards/accuracies': 1.0, 'rewards/margins': 13.0139799118042, 'logps/rejected': -348.8202209472656, 'logps/chosen': -214.45510864257812, 'logits/rejected': -1.141723871231079, 'logits/chosen': -1.1065889596939087, 'epoch': 27.0}
{'loss': 0.0, 'grad_norm': 0.000820159912109375, 'learning_rate': 0.0004522542485937369, 'rewards/chosen': -7.227496147155762, 'rewards/rejected': -20.251407623291016, 'rewards/accuracies': 1.0, 'rewards/margins': 13.02391242980957, 'logps/rejected': -349.18157958984375, 'logps/chosen': -214.7106170654297, 'logits/rejected': -1.1360056400299072, 'logits/chosen': -1.1108310222625732, 'epoch': 28.0}
{'loss': 0.0, 'grad_norm': 0.00048065185546875, 'learning_rate': 0.00044700268840168044, 'rewards/chosen': -7.239978790283203, 'rewards/rejected': -20.283348083496094, 'rewards/accuracies': 1.0, 'rewards/margins': 13.043370246887207, 'logps/rejected': -349.54046630859375, 'logps/chosen': -214.83401489257812, 'logits/rejected': -1.1435847282409668, 'logits/chosen': -1.1084120273590088, 'epoch': 29.0}
{'loss': 0.0, 'grad_norm': 0.0007781982421875, 'learning_rate': 0.0004415111107797445, 'rewards/chosen': -7.257998466491699, 'rewards/rejected': -20.322267532348633, 'rewards/accuracies': 1.0, 'rewards/margins': 13.06427001953125, 'logps/rejected': -349.94390869140625, 'logps/chosen': -215.0220947265625, 'logits/rejected': -1.1396331787109375, 'logits/chosen': -1.1061357259750366, 'epoch': 30.0}
{'eval_loss': 0.021586552262306213, 'eval_runtime': 2.4813, 'eval_samples_per_second': 4.03, 'eval_steps_per_second': 4.03, 'eval_rewards/chosen': -9.125411987304688, 'eval_rewards/rejected': -19.794191360473633, 'eval_rewards/accuracies': 1.0, 'eval_rewards/margins': 10.668779373168945, 'eval_logps/rejected': -354.46868896484375, 'eval_logps/chosen': -243.7852325439453, 'eval_logits/rejected': -1.2244378328323364, 'eval_logits/chosen': -1.1767280101776123, 'epoch': 30.0}
{'loss': 0.0, 'grad_norm': 0.000873565673828125, 'learning_rate': 0.00043578620636934855, 'rewards/chosen': -7.272147178649902, 'rewards/rejected': -20.362354278564453, 'rewards/accuracies': 1.0, 'rewards/margins': 13.09020709991455, 'logps/rejected': -350.32623291015625, 'logps/chosen': -215.16983032226562, 'logits/rejected': -1.1334478855133057, 'logits/chosen': -1.1050984859466553, 'epoch': 31.0}
{'loss': 0.0, 'grad_norm': 0.0008544921875, 'learning_rate': 0.0004298349500846628, 'rewards/chosen': -7.291892051696777, 'rewards/rejected': -20.3934383392334, 'rewards/accuracies': 1.0, 'rewards/margins': 13.101547241210938, 'logps/rejected': -350.6465148925781, 'logps/chosen': -215.37887573242188, 'logits/rejected': -1.1477034091949463, 'logits/chosen': -1.1065701246261597, 'epoch': 32.0}
{'loss': 0.0, 'grad_norm': 0.0004425048828125, 'learning_rate': 0.00042366459261474935, 'rewards/chosen': -7.296891689300537, 'rewards/rejected': -20.424823760986328, 'rewards/accuracies': 1.0, 'rewards/margins': 13.127934455871582, 'logps/rejected': -350.9252014160156, 'logps/chosen': -215.4075927734375, 'logits/rejected': -1.1361440420150757, 'logits/chosen': -1.1042547225952148, 'epoch': 33.0}
{'loss': 0.0, 'grad_norm': 0.001220703125, 'learning_rate': 0.0004172826515897146, 'rewards/chosen': -7.316184043884277, 'rewards/rejected': -20.460086822509766, 'rewards/accuracies': 1.0, 'rewards/margins': 13.143900871276855, 'logps/rejected': -351.26953125, 'logps/chosen': -215.6007843017578, 'logits/rejected': -1.141647219657898, 'logits/chosen': -1.1057641506195068, 'epoch': 34.0}
{'loss': 0.0, 'grad_norm': 0.000682830810546875, 'learning_rate': 0.0004106969024216348, 'rewards/chosen': -7.328489780426025, 'rewards/rejected': -20.477901458740234, 'rewards/accuracies': 1.0, 'rewards/margins': 13.1494140625, 'logps/rejected': -351.47174072265625, 'logps/chosen': -215.7093963623047, 'logits/rejected': -1.131932020187378, 'logits/chosen': -1.0966845750808716, 'epoch': 35.0}
{'loss': 0.0, 'grad_norm': 0.000583648681640625, 'learning_rate': 0.00040391536883141455, 'rewards/chosen': -7.340644836425781, 'rewards/rejected': -20.516082763671875, 'rewards/accuracies': 1.0, 'rewards/margins': 13.175439834594727, 'logps/rejected': -351.83172607421875, 'logps/chosen': -215.85177612304688, 'logits/rejected': -1.1353517770767212, 'logits/chosen': -1.1050297021865845, 'epoch': 36.0}
{'loss': 0.0, 'grad_norm': 0.000659942626953125, 'learning_rate': 0.0003969463130731183, 'rewards/chosen': -7.355329990386963, 'rewards/rejected': -20.521974563598633, 'rewards/accuracies': 1.0, 'rewards/margins': 13.166644096374512, 'logps/rejected': -351.90692138671875, 'logps/chosen': -215.9934844970703, 'logits/rejected': -1.1346317529678345, 'logits/chosen': -1.1119468212127686, 'epoch': 37.0}
{'loss': 0.0, 'grad_norm': 0.00070953369140625, 'learning_rate': 0.0003897982258676867, 'rewards/chosen': -7.3651442527771, 'rewards/rejected': -20.552600860595703, 'rewards/accuracies': 1.0, 'rewards/margins': 13.187458992004395, 'logps/rejected': -352.2227478027344, 'logps/chosen': -216.0951690673828, 'logits/rejected': -1.1320956945419312, 'logits/chosen': -1.0996484756469727, 'epoch': 38.0}
{'loss': 0.0, 'grad_norm': 0.0008697509765625, 'learning_rate': 0.00038247981605830125, 'rewards/chosen': -7.371527194976807, 'rewards/rejected': -20.57172393798828, 'rewards/accuracies': 1.0, 'rewards/margins': 13.2001953125, 'logps/rejected': -352.4100646972656, 'logps/chosen': -216.15841674804688, 'logits/rejected': -1.140165090560913, 'logits/chosen': -1.107283592224121, 'epoch': 39.0}
{'loss': 0.0, 'grad_norm': 0.00069427490234375, 'learning_rate': 0.000375, 'rewards/chosen': -7.386608123779297, 'rewards/rejected': -20.595165252685547, 'rewards/accuracies': 1.0, 'rewards/margins': 13.208559036254883, 'logps/rejected': -352.6369934082031, 'logps/chosen': -216.2838134765625, 'logits/rejected': -1.1510035991668701, 'logits/chosen': -1.1142486333847046, 'epoch': 40.0}
{'eval_loss': 0.020951945334672928, 'eval_runtime': 2.4724, 'eval_samples_per_second': 4.045, 'eval_steps_per_second': 4.045, 'eval_rewards/chosen': -9.301961898803711, 'eval_rewards/rejected': -20.057292938232422, 'eval_rewards/accuracies': 1.0, 'eval_rewards/margins': 10.755330085754395, 'eval_logps/rejected': -357.0997314453125, 'eval_logps/chosen': -245.55075073242188, 'eval_logits/rejected': -1.2210686206817627, 'eval_logits/chosen': -1.1783535480499268, 'epoch': 40.0}
{'loss': 0.0, 'grad_norm': 0.000766754150390625, 'learning_rate': 0.0003673678906964727, 'rewards/chosen': -7.3983154296875, 'rewards/rejected': -20.61934471130371, 'rewards/accuracies': 1.0, 'rewards/margins': 13.221029281616211, 'logps/rejected': -352.897705078125, 'logps/chosen': -216.434814453125, 'logits/rejected': -1.131279706954956, 'logits/chosen': -1.1056766510009766, 'epoch': 41.0}
{'loss': 0.0, 'grad_norm': 0.001068115234375, 'learning_rate': 0.00035959278669726934, 'rewards/chosen': -7.396624565124512, 'rewards/rejected': -20.635568618774414, 'rewards/accuracies': 1.0, 'rewards/margins': 13.238943099975586, 'logps/rejected': -353.0221862792969, 'logps/chosen': -216.4176788330078, 'logits/rejected': -1.1487089395523071, 'logits/chosen': -1.1129473447799683, 'epoch': 42.0}
{'loss': 0.0, 'grad_norm': 0.0010986328125, 'learning_rate': 0.0003516841607689501, 'rewards/chosen': -7.418170928955078, 'rewards/rejected': -20.661109924316406, 'rewards/accuracies': 1.0, 'rewards/margins': 13.242939949035645, 'logps/rejected': -353.29632568359375, 'logps/chosen': -216.61181640625, 'logits/rejected': -1.1397347450256348, 'logits/chosen': -1.1016662120819092, 'epoch': 43.0}
{'loss': 0.0, 'grad_norm': 0.0005340576171875, 'learning_rate': 0.00034365164835397803, 'rewards/chosen': -7.4202752113342285, 'rewards/rejected': -20.670190811157227, 'rewards/accuracies': 1.0, 'rewards/margins': 13.249917984008789, 'logps/rejected': -353.4105529785156, 'logps/chosen': -216.6402130126953, 'logits/rejected': -1.1366602182388306, 'logits/chosen': -1.1133191585540771, 'epoch': 44.0}
{'loss': 0.0, 'grad_norm': 0.000701904296875, 'learning_rate': 0.0003355050358314172, 'rewards/chosen': -7.43222188949585, 'rewards/rejected': -20.69375228881836, 'rewards/accuracies': 1.0, 'rewards/margins': 13.261530876159668, 'logps/rejected': -353.6204528808594, 'logps/chosen': -216.7517852783203, 'logits/rejected': -1.136565923690796, 'logits/chosen': -1.1053366661071777, 'epoch': 45.0}
{'loss': 0.0, 'grad_norm': 0.00060272216796875, 'learning_rate': 0.00032725424859373687, 'rewards/chosen': -7.435964107513428, 'rewards/rejected': -20.703271865844727, 'rewards/accuracies': 1.0, 'rewards/margins': 13.267309188842773, 'logps/rejected': -353.7232971191406, 'logps/chosen': -216.8080291748047, 'logits/rejected': -1.1467292308807373, 'logits/chosen': -1.1144758462905884, 'epoch': 46.0}
{'loss': 0.0, 'grad_norm': 0.000568389892578125, 'learning_rate': 0.0003189093389542498, 'rewards/chosen': -7.449028968811035, 'rewards/rejected': -20.717941284179688, 'rewards/accuracies': 1.0, 'rewards/margins': 13.268915176391602, 'logps/rejected': -353.87286376953125, 'logps/chosen': -216.9100799560547, 'logits/rejected': -1.1396348476409912, 'logits/chosen': -1.1061490774154663, 'epoch': 47.0}
{'loss': 0.0, 'grad_norm': 0.0009918212890625, 'learning_rate': 0.0003104804738999169, 'rewards/chosen': -7.4489030838012695, 'rewards/rejected': -20.74361801147461, 'rewards/accuracies': 1.0, 'rewards/margins': 13.294715881347656, 'logps/rejected': -354.10894775390625, 'logps/chosen': -216.93130493164062, 'logits/rejected': -1.1413917541503906, 'logits/chosen': -1.105372667312622, 'epoch': 48.0}
{'loss': 0.0, 'grad_norm': 0.000820159912109375, 'learning_rate': 0.0003019779227044398, 'rewards/chosen': -7.4655256271362305, 'rewards/rejected': -20.746152877807617, 'rewards/accuracies': 1.0, 'rewards/margins': 13.28062629699707, 'logps/rejected': -354.15252685546875, 'logps/chosen': -217.10000610351562, 'logits/rejected': -1.1418201923370361, 'logits/chosen': -1.1112910509109497, 'epoch': 49.0}
{'loss': 0.0, 'grad_norm': 0.000621795654296875, 'learning_rate': 0.00029341204441673266, 'rewards/chosen': -7.462807655334473, 'rewards/rejected': -20.763715744018555, 'rewards/accuracies': 1.0, 'rewards/margins': 13.300909042358398, 'logps/rejected': -354.3154602050781, 'logps/chosen': -217.04269409179688, 'logits/rejected': -1.1300309896469116, 'logits/chosen': -1.098764419555664, 'epoch': 50.0}
{'eval_loss': 0.021191563457250595, 'eval_runtime': 2.4709, 'eval_samples_per_second': 4.047, 'eval_steps_per_second': 4.047, 'eval_rewards/chosen': -9.393835067749023, 'eval_rewards/rejected': -20.20960807800293, 'eval_rewards/accuracies': 1.0, 'eval_rewards/margins': 10.81577205657959, 'eval_logps/rejected': -358.62286376953125, 'eval_logps/chosen': -246.46945190429688, 'eval_logits/rejected': -1.22081458568573, 'eval_logits/chosen': -1.1814281940460205, 'epoch': 50.0}
{'loss': 0.0, 'grad_norm': 0.00063323974609375, 'learning_rate': 0.00028479327524001636, 'rewards/chosen': -7.46249532699585, 'rewards/rejected': -20.774030685424805, 'rewards/accuracies': 1.0, 'rewards/margins': 13.311535835266113, 'logps/rejected': -354.41485595703125, 'logps/chosen': -217.0466766357422, 'logits/rejected': -1.1417442560195923, 'logits/chosen': -1.1051273345947266, 'epoch': 51.0}
{'loss': 0.0, 'grad_norm': 0.0009918212890625, 'learning_rate': 0.0002761321158169134, 'rewards/chosen': -7.474909782409668, 'rewards/rejected': -20.790307998657227, 'rewards/accuracies': 1.0, 'rewards/margins': 13.315396308898926, 'logps/rejected': -354.5994567871094, 'logps/chosen': -217.1878662109375, 'logits/rejected': -1.140550971031189, 'logits/chosen': -1.1088049411773682, 'epoch': 52.0}
{'loss': 0.0, 'grad_norm': 0.00091552734375, 'learning_rate': 0.0002674391184360313, 'rewards/chosen': -7.483894348144531, 'rewards/rejected': -20.795976638793945, 'rewards/accuracies': 1.0, 'rewards/margins': 13.312082290649414, 'logps/rejected': -354.64129638671875, 'logps/chosen': -217.25003051757812, 'logits/rejected': -1.1345205307006836, 'logits/chosen': -1.0993674993515015, 'epoch': 53.0}
{'loss': 0.0, 'grad_norm': 0.0007476806640625, 'learning_rate': 0.0002587248741756253, 'rewards/chosen': -7.479247093200684, 'rewards/rejected': -20.80501937866211, 'rewards/accuracies': 1.0, 'rewards/margins': 13.325773239135742, 'logps/rejected': -354.7325134277344, 'logps/chosen': -217.228515625, 'logits/rejected': -1.139939308166504, 'logits/chosen': -1.109876036643982, 'epoch': 54.0}
{'loss': 0.0, 'grad_norm': 0.0002727508544921875, 'learning_rate': 0.00025, 'rewards/chosen': -7.494204044342041, 'rewards/rejected': -20.811307907104492, 'rewards/accuracies': 1.0, 'rewards/margins': 13.317103385925293, 'logps/rejected': -354.7906799316406, 'logps/chosen': -217.3749237060547, 'logits/rejected': -1.1285845041275024, 'logits/chosen': -1.104322910308838, 'epoch': 55.0}
{'loss': 0.0, 'grad_norm': 0.000885009765625, 'learning_rate': 0.00024127512582437484, 'rewards/chosen': -7.486695289611816, 'rewards/rejected': -20.82016944885254, 'rewards/accuracies': 1.0, 'rewards/margins': 13.333471298217773, 'logps/rejected': -354.8810119628906, 'logps/chosen': -217.2972412109375, 'logits/rejected': -1.137188196182251, 'logits/chosen': -1.1081488132476807, 'epoch': 56.0}
{'loss': 0.0, 'grad_norm': 0.00075531005859375, 'learning_rate': 0.00023256088156396867, 'rewards/chosen': -7.492063999176025, 'rewards/rejected': -20.8239803314209, 'rewards/accuracies': 1.0, 'rewards/margins': 13.331918716430664, 'logps/rejected': -354.94781494140625, 'logps/chosen': -217.35842895507812, 'logits/rejected': -1.1404474973678589, 'logits/chosen': -1.1073198318481445, 'epoch': 57.0}
{'loss': 0.0, 'grad_norm': 0.000782012939453125, 'learning_rate': 0.00022386788418308668, 'rewards/chosen': -7.490833282470703, 'rewards/rejected': -20.837360382080078, 'rewards/accuracies': 1.0, 'rewards/margins': 13.346527099609375, 'logps/rejected': -355.0590515136719, 'logps/chosen': -217.3353271484375, 'logits/rejected': -1.1343047618865967, 'logits/chosen': -1.1048192977905273, 'epoch': 58.0}
{'loss': 0.0, 'grad_norm': 0.000865936279296875, 'learning_rate': 0.0002152067247599837, 'rewards/chosen': -7.4962358474731445, 'rewards/rejected': -20.840595245361328, 'rewards/accuracies': 1.0, 'rewards/margins': 13.34435749053955, 'logps/rejected': -355.1018981933594, 'logps/chosen': -217.400146484375, 'logits/rejected': -1.131791353225708, 'logits/chosen': -1.1038554906845093, 'epoch': 59.0}
{'loss': 0.0, 'grad_norm': 0.00101470947265625, 'learning_rate': 0.00020658795558326743, 'rewards/chosen': -7.496462821960449, 'rewards/rejected': -20.839900970458984, 'rewards/accuracies': 1.0, 'rewards/margins': 13.343440055847168, 'logps/rejected': -355.07086181640625, 'logps/chosen': -217.39608764648438, 'logits/rejected': -1.139540672302246, 'logits/chosen': -1.109133005142212, 'epoch': 60.0}
{'eval_loss': 0.022322451695799828, 'eval_runtime': 2.4848, 'eval_samples_per_second': 4.024, 'eval_steps_per_second': 4.024, 'eval_rewards/chosen': -9.43674373626709, 'eval_rewards/rejected': -20.267086029052734, 'eval_rewards/accuracies': 1.0, 'eval_rewards/margins': 10.830340385437012, 'eval_logps/rejected': -359.1976013183594, 'eval_logps/chosen': -246.89859008789062, 'eval_logits/rejected': -1.2201392650604248, 'eval_logits/chosen': -1.1789361238479614, 'epoch': 60.0}
